service_id,service_name,region,city,latitude,longitude,phone,email,wheelchair_access,Healthlink_EDI,practitioner_id,practitioner_name,practitioner_type,specialisation,practitioner_role
hp-service-1937689,Chemist Warehouse Auckland - Victoria Street,Central Auckland,Auckland,-36.8486588,174.7647089,(09) 872 5500,aucklandvictoriast2@chemistwarehouse.co.nz ,,,,,,,
hp-service-1110422,Wayne Massage,Central Auckland,Auckland,-36.84974049999999,174.7637655,(09) 377 9928,,,,,,,,
hp-service-662377,Caring Clinic Doctors,Central Auckland,Auckland,-36.8479925,174.7653682,(09) 222 2577,info@caringclinic.co.nz,,caring8q,hp-prac-272433,Dr Jessie Liu,,General Practitioner,
hp-service-662377,Caring Clinic Doctors,Central Auckland,Auckland,-36.8479925,174.7653682,(09) 222 2577,info@caringclinic.co.nz,,caring8q,hp-prac-1088916,Dr Wei Long,,,
hp-service-662377,Caring Clinic Doctors,Central Auckland,Auckland,-36.8479925,174.7653682,(09) 222 2577,info@caringclinic.co.nz,,caring8q,hp-prac-334237,Dr Ruoh Sim,,General Practitioner - Vocationally Registered,
hp-service-346654,The Fono - Central,Central Auckland,Auckland,-36.8466811,174.7638419,0800 366 648 (0800 FONO 4U),citymedical@thefono.org,,comtrust,hp-prac-1194403,Dr David Atkinson,,General Practitioner,
hp-service-346654,The Fono - Central,Central Auckland,Auckland,-36.8466811,174.7638419,0800 366 648 (0800 FONO 4U),citymedical@thefono.org,,comtrust,hp-prac-1194407,Dr Rebecca Redwood,,General Practitioner,
hp-service-1139878,City Chiropractic,Central Auckland,Auckland,-36.8493077,174.7654655,(09) 377 7795,,,,,,,,
hp-service-1675233,Align Chiropractic and Wellness,Central Auckland,Auckland,-36.8493077,174.7654655,,,,,,,,,
hp-service-950841,Chris Harcombe Osteopathy,Central Auckland,Auckland,-36.8471047,174.7650469,(09) 282 4475,,,,,,,,
hp-service-953701,Chemist Warehouse Auckland - Lower Queen St,Central Auckland,Auckland,-36.84754,174.7654835,(09) 941 4911,,,tggo7x3o,,,,,
hp-service-672811,"Smile Dental - Auckland City, CBD",Central Auckland,Auckland,-36.849857,174.7651569,0800 476 453,,,,,,,,
hp-service-1021928,OPSM - Queen Street,Central Auckland,Auckland,-36.847491,174.7655016,(09) 303 3042,,,,,,,,
hp-service-1069187,Motion Health - Lambton Quay,Wellington,Wellington,-41.2861907,174.77589539999997,(04) 831 1006,,,,,,,,
hp-service-1021164,Barry & Sargent Optometrists,Wellington,Wellington,-41.2867745,174.7758109,,,,,,,,,
hp-service-811523,Central Wellington Medical Centre,Wellington,Wellington,-41.28620799999999,174.77671239999995,(04) 912 2642,admin@centralwellingtonmedical.co.nz,,CWMEDCEN,hp-prac-1063666,Dr Jacob Tan,,General Practitioner,
